"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
4.22821,4.22821,-0.661501,0.25,0.37,30.5099,0.676329,1.75694,37.7026,12,"2015",-61.8591,21.8535
25.2061,25.2061,-0.00785078,0.29,0.48,32.8911,0.671452,4.71643,80.0208,12,"2015",-53.928,22.8295
5.46385,5.46385,-0.459696,0.43,0.3,29.8482,0.68225,0,12.4728,21,"2015",-68.2636,18.8036
7.59852,7.59852,-0.740196,0.54,0.34,23.7635,0.649239,5,54.6395,12,"2015",-53.2586,29.1584
15.7275,15.7275,0.0265339,0.34,0.44,32.6924,0.665205,5,66.1518,12,"2015",-54.5915,24.8261
9.7214,9.7214,-0.483695,0.51,0.33,23.9167,0.681466,4.4537,82.4057,12,"2015",-47.617,19.5469
9.18882,9.18882,-0.555784,0.43,0.43,31.5174,0.689683,5,75.4396,12,"2015",-57.2562,20.8269
7.55971,7.55971,-0.98732,0.48,0.33,32.7392,0.640758,0,21.8914,21,"2015",-71.5922,17.4922
5.38208,5.38208,-1.02091,0.44,0.35,29.6754,0.648039,1.92689,32.4075,21,"2015",-72.2563,16.1599
21.1037,21.1037,-0.301108,0.35,0.47,35.5427,0.684967,6.94516,93.0763,12,"2015",-54.942,21.1562
16.6509,16.6509,-0.483574,0.41,0.42,33.9085,0.688994,3.59186,72.5808,12,"2015",-56.5929,21.1608
26.2665,26.2665,-0.267226,0.31,0.47,32.2308,0.692012,5,82.5475,9,"2015",-54.2589,18.1609
8.56867,8.56867,-0.368683,0.28,0.39,31.3019,0.624104,3.72906,60.7173,12,"2015",-72.9292,25.1687
14.3417,14.3417,0.022342,0.37,0.43,33.1595,0.663578,5.41202,98.624,12,"2015",-52.2576,22.8307
6.02908,6.02908,-0.991392,0.51,0.3,33.2619,0.651112,1.23358,28.8685,21,"2015",-71.5872,16.1639
14.7541,14.7541,-0.345139,0.44,0.4,35.8359,0.674919,6,81.3127,12,"2015",-48.5915,21.1613
6.19957,6.19957,-0.777751,0.5,0.33,34.1449,0.619202,1,28.1416,21,"2015",-73.9241,16.8304
